puntuación,review,sentimiento
,"Todo bien, pero podría mejorar el empaque.",neutral
,"Todo salió bien, muy satisfecho con la compra.",positivo
,"Me encantó el producto, cumple con todo lo prometido.",positivo
,El trato fue amable y profesional.,positivo
,"Me encantó el producto, cumple con todo lo prometido.",positivo
,"No cumple lo que promete, muy decepcionado.",negativo
,El producto llegó roto y con mala presentación.,negativo
,"Es justo lo que esperaba, sin más.",neutral
,"Nada destacable, simplemente aceptable.",neutral
1.0,"Nos hemos llevado una gran decepción.
Veníamos con la idea de comernos una rica paella al lado de la playa y nos hemos ido comiendonos una paella aceptable sin más en el interior de un local enorme…",negativo
,"Todo salió bien, muy satisfecho con la compra.",positivo
,La comida estaba fría y el personal fue grosero.,negativo
,"Recibí el producto, aún no lo he probado.",neutral
,"No cumple lo que promete, muy decepcionado.",negativo
,El empaque era hermoso y la entrega rápida.,positivo
,El empaque estaba abierto y sucio.,negativo
,Excelente servicio y atención.,positivo
,"Es justo lo que esperaba, sin más.",neutral
,"Todo bien, pero podría mejorar el empaque.",neutral
50.0,"El bully nunca falla como escenario para nuestras cenas de amigas del equipo de baloncesto, y ya son desde hace 11 años que nos reunimos aqui, como siempre el servicio espectacular y la comida inmejorable. Muy recomendable!Más",positivo
,"Nada destacable, simplemente aceptable.",neutral
,La comida estaba deliciosa y el lugar impecable.,positivo
,"No funcionó como esperaba, perdí mi dinero.",negativo
,El trato fue amable y profesional.,positivo
,La comida estaba fría y el personal fue grosero.,negativo
,Buen precio y excelente presentación.,positivo
,"Superó mis expectativas, funciona perfecto.",positivo
,Definitivamente no volvería a comprar aquí.,negativo
,"Una experiencia maravillosa, volveré sin dudarlo.",positivo
,"Recibí el producto, aún no lo he probado.",neutral
,El soporte técnico nunca respondió.,negativo
2.0,"Desde luego una decepción. ""Cria fama..."" Mucha propaganda pero nada aconsejable. La paella era insípida, poco gustosa. La amanida pobre y sencilla por el precio q piden. El pan que sirven está bueno. El camarero corriendo arriba y abajo,…",neutral
,Buen precio y excelente presentación.,positivo
,"Cumple con lo básico, sin destacar demasiado.",neutral
,La comida estaba deliciosa y el lugar impecable.,positivo
40.0,un sitio muy agradable para tomar un café unas cañas picar algo o incluso comer. tiene una agradable terraza para los fumadores.....Más,positivo
,"Todo bien, pero podría mejorar el empaque.",neutral
,"Es justo lo que esperaba, sin más.",neutral
,El empaque era hermoso y la entrega rápida.,positivo
,"Una experiencia maravillosa, volveré sin dudarlo.",positivo
,Excelente servicio y atención.,positivo
50.0,Excelente comida en una de las mejores terrazas de Donosti. Atención de 10. Una maravillosa opción en un lugar tranquiloMás,positivo
,Tardaron semanas en enviar el pedido.,negativo
,Tardaron semanas en enviar el pedido.,negativo
,"Superó mis expectativas, funciona perfecto.",positivo
,El producto cumple con su función.,neutral
,"El servicio fue adecuado, sin inconvenientes.",neutral
,"Todo bien, pero podría mejorar el empaque.",neutral
,"Una experiencia maravillosa, volveré sin dudarlo.",positivo
5.0,"Restaurante excepcional, el servicio exquisito, la comida deliciosa, hice fotos de los entrantes y estaba todo riquísimo, cuando llegó el arroz caldoso de bogavante y la paella de rochos, estaba disfrutando tanto de la comida y tenía tan bien aspecto que ni me acordé de hacerle fotos a los platos principales",positivo
,"Cumple con lo básico, sin destacar demasiado.",neutral
,"Pésimo servicio, no lo recomiendo.",negativo
,El producto llegó roto y con mala presentación.,negativo
,Buen precio y excelente presentación.,positivo
,Buen precio y excelente presentación.,positivo
,El soporte técnico nunca respondió.,negativo
,"Superó mis expectativas, funciona perfecto.",positivo
,"El servicio fue adecuado, sin inconvenientes.",neutral
,"El servicio fue adecuado, sin inconvenientes.",neutral
,"Todo salió bien, muy satisfecho con la compra.",positivo
,"Recibí el producto, aún no lo he probado.",neutral
,"Nada destacable, simplemente aceptable.",neutral
,"Recibí el producto, aún no lo he probado.",neutral
,El soporte técnico nunca respondió.,negativo
,La comida estaba fría y el personal fue grosero.,negativo
,El empaque era hermoso y la entrega rápida.,positivo
,El empaque era hermoso y la entrega rápida.,positivo
50.0,"Servicio muy atento, todo de calidad y un buen precio, nos ha servido ibai, muy majo! Me encantan sus patatas bravas!Más",positivo
,Buen precio y excelente presentación.,positivo
,"Superó mis expectativas, funciona perfecto.",positivo
50.0,"Tras pedirme un café y le pedí consejo al camarero para comer algo para almorzar, me recomendó la Tarta de Zanahoria. Sabor súper bueno y estaba súper jugosa. Prometo volver a otras horas para probar productos de la carta, como el Cachopo, del que me...Más",positivo
,El trato fue amable y profesional.,positivo
,"Recibí el producto, aún no lo he probado.",neutral
,"Ni bien ni mal, simplemente correcto.",neutral
,"Nada destacable, simplemente aceptable.",neutral
,"Me encantó el producto, cumple con todo lo prometido.",positivo
,El soporte técnico nunca respondió.,negativo
,"Mala calidad, se dañó al primer uso.",negativo
,"Nada destacable, simplemente aceptable.",neutral
,El trato fue amable y profesional.,positivo
,Excelente servicio y atención.,positivo
,"Nada destacable, simplemente aceptable.",neutral
,"Superó mis expectativas, funciona perfecto.",positivo
,"No funcionó como esperaba, perdí mi dinero.",negativo
,"Pésimo servicio, no lo recomiendo.",negativo
50.0,Espectacular y bonito lugar donde nos han atendido unos majisimos camareros. Comida muy rica y buena atencion. Espectacular el camarero ikerMás,positivo
1.0,"Nos hemos llevado una gran decepción.
Veníamos con la idea de comernos una rica paella al lado de la playa y nos hemos ido comiendonos una paella aceptable sin más en el interior de un local enorme…",negativo
,"El servicio fue adecuado, sin inconvenientes.",neutral
,Tardaron semanas en enviar el pedido.,negativo
,El soporte técnico nunca respondió.,negativo
,"El servicio fue adecuado, sin inconvenientes.",neutral
,"El servicio fue adecuado, sin inconvenientes.",neutral
,La comida estaba fría y el personal fue grosero.,negativo
,"Recibí el producto, aún no lo he probado.",neutral
,La comida estaba fría y el personal fue grosero.,negativo
,"Pésimo servicio, no lo recomiendo.",negativo
50.0,"Muy amable y agradable todo gracias al camarero Iker, con este dia de lluvia nos ha buscado el mejor sitio posible y acogedor para unos cuantos amigos. Muy recomendable!! Volveremos😊Más",positivo
,El soporte técnico nunca respondió.,negativo
,"Muy buena calidad, lo recomiendo totalmente.",positivo
,"Nada destacable, simplemente aceptable.",neutral
50.0,"Todo muy rico y de buen ambiente. Nuestro camarero Iker muy amable y servicial en todo momento, mejor imposible. Recomendable 100%Más",positivo
,"No cumple lo que promete, muy decepcionado.",negativo
,"El servicio fue adecuado, sin inconvenientes.",neutral
5.0,"De los mejores sitios para comer paella  , y productos del mar , aconsejable reservar siempre completo , personal muy amable y atento sobre todo Amador , numerosos famosos desde hace tiempo hasta actuales pasan x aquí",positivo
,"El servicio fue adecuado, sin inconvenientes.",neutral
